title,organizer,status,location,event_mode,start_date,end_date,registration_deadline,team_size_min,team_size_max,prize,prize_amount,currency,tags,source_url,source_website,scraped_at,id,event_name,college_name,city,state,country,start_date_formatted,category,eligible_departments,registration_fee,registration_url,official_website_url,brochure_url,organizer_email,contact_details,venue_address,about_event,events_summary,certificates_provided,event_url
Smart Ration Dispenser 2026,SRM Institute of Science and Technology Kattankulathur Campus,Upcoming,"Chennai, Tamil Nadu",Offline,2026-09-15,N/A,2026-08-15,1,5,N/A,N/A,N/A,"Hackathon, CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Industrial, Design",https://www.knowafest.com/explore/events/2026/07/2208-smart-ration-dispenser-2026-srm-institute-science-technology-kattankulathur-campus-hackathon-chennai,knowafest.com,2026-09-14T15:02:05Z,1,Smart Ration Dispenser 2026,SRM Institute of Science and Technology Kattankulathur Campus,Chennai,Tamil Nadu,India,15th September 2026,Hackathon,"CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Industrial, Design",Rs.500/per student team,https://docs.google.com/forms/d/e/1FAIpQLSe4_uASmBq7jPMOm9BoMgxwXRgCnEIc74IwNizITAvnLc-_bw/viewform,https://www.srmist.edu.in/events/smart-ration-dispenser-hackathon/,N/A,vijayaa@srmist.edu.in,"Ms.Praggya Mukherjee, 9875374311

Dr.A.Vijaya, 8939917225, vijayaa@srmist.edu.in",N/A,"A Multidisciplinary team with max of 5 partcipants can register for hackathon. The team should work on the development of working model and exhibit on 15th Sepetember 2026 at SRMIST, Mechanical department Hangar","Engineers Day Celebration in collaboration with IEI , KTR and NSS",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/07/2208-smart-ration-dispenser-2026-srm-institute-science-technology-kattankulathur-campus-hackathon-chennai
SUSTAINVERSE 2K26,DMI College of Engineering,Upcoming,"chennai, Tamil Nadu",Hybrid,2026-09-15,2026-09-16,2026-09-10,1,4,"Prize Pool: ₹22,000",22000.0,INR,"24 Hours Hackathon, CSE, AIDS, ECE, IT, EEE, Mechanical, BioTechnology",https://www.knowafest.com/explore/events/2026/09/0425-sustainverse-2k26-dmi-college-engineering-24-hours-hackathon-chennai,knowafest.com,2026-09-14T15:02:05Z,2,SUSTAINVERSE 2K26,DMI College of Engineering,chennai,Tamil Nadu,India,15th - 16th September 2026,24 Hours Hackathon,"CSE, AIDS, ECE, IT, EEE, Mechanical, BioTechnology","₹400 per shortlisted team (up to 4 members)

₹200 for shortlisted individual participants

No registration fee is collected during Round 1 idea submission.

Registration fee will be collected only from participants/teams shortlisted for the final 24-hour hackathon.",https://docs.google.com/forms/d/e/1FAIpQLSeAS3DsjDiF2ywWnl1Nb4DLGTBEDBh9-w3-t3Ur2e8gmaWRLg/viewform?usp=send_form,https://sustainverse2k26.vercel.app,N/A,samrohan3007@gmail.com,"Student Coordinators:

Nandhini – +91 90424 89120

Samuel Rohan – +91 82209 93325

Faculty Coordinators:

Mrs. A. Divya – +91 88517 83950

Ms. U. Narmadha – +91 84282 00851","DMI College of Engineering is located on NH-48 at Palanchur – Nazarathpet Post, Chennai, Tamil Nadu – 600123.

The campus is accessible by road and is located along the Chennai–Bengaluru Highway (NH-48). Participants can reach the venue by bus, car, taxi, or other local transportation.","🌱 SUSTAINVERSE 2K26 – A 24-Hour Hackathon for a Sustainable Tomorrow

DMI College of Engineering, Chennai, proudly presents SUSTAINVERSE 2K26, organized by the Department of Artificial Intelligence & Data Science.

SUSTAINVERSE 2K26 challenges students to PLAN • INNOVATE • SUSTAIN by creating technology-driven solutions for real-world problems aligned with the United Nations Sustainable Development Goals (SDGs).

Hackathon Themes:

• AI & ML

• Education

• Healthcare

• Cybersecurity

• Open Innovation

The hackathon follows a two-stage process.

ROUND 1 – REGISTRATION & IDEA SHORTLISTING

All participating teams must submit their preliminary idea through the Round 1 registration process. The submitted problem statement, proposed solution, and presentation will be evaluated for preliminary shortlisting.

Only 30 teams will be shortlisted for the final 24-hour hackathon.

Round 1 evaluation criteria:

• Uniqueness

• Novelty

• Innovation

• Problem Relevance

• SDG Alignment

• Feasibility

• Potential Impact

Teams are required to prepare and submit their presentation using the official SUSTAINVERSE 2K26 Round 1 PPT template.

IMPORTANT:

The Problem Statement and Idea submitted during Round 1 are only for the shortlisting process. They do not lock your team into the same problem or idea for the final hackathon. Shortlisted teams may refine, change, or choose a different problem or idea during the final 24-hour hackathon.

FINAL ROUND – 24-HOUR HACKATHON

The shortlisted 30 teams will participate in the final 24-hour offline hackathon at DMI College of Engineering.

Participants will collaborate, build prototypes, develop innovative solutions, and compete to create meaningful real-world impact.

Hackathon Details:

Date: September 15–16, 2026

Duration: 24 Hours

Venue: DMI College of Engineering, Chennai

Team Size: Up to 4 Members

Shortlisted Teams: 30

Registration Fee:

No registration fee is collected during Round 1.

₹400 per shortlisted team (up to 4 members)

₹200 for shortlisted individual participants

Registration fee will be collected only from teams/participants shortlisted for the final 24-hour hackathon.

Prize Pool: ₹22,000

1st Prize: ₹10,000

2nd Prize: ₹7,000

3rd Prize: ₹5,000

IMPORTANT DATES:

Round 1 Registration & Idea Submission Deadline: September 10, 2026

Final 24-Hour Hackathon: September 15–16, 2026

Start Time: September 15, 2026 – 10:00 AM onwards

REGISTRATION:

Round 1 Registration & Idea Submission:

https://docs.google.com/forms/d/1L31hyz8plrCdK8ovzA3tOXcl6Bl6I3sxoypyFe6vP-s/viewform

Official Event Website:

https://sustainverse2k26.vercel.app/

ROUND 1 SELECTION CRITERIA:

https://docs.google.com/document/d/1QMOKTf2uxg83lpBkeg_WkG6jMCpaTYHY/edit

OFFICIAL ROUND 1 PPT TEMPLATE:

https://docs.google.com/presentation/d/1cEkmFLeww6kZL0mM-7pUy7fe1pBHnR_-/edit

CONTACT:

Nandhini: +91 90424 89120

Samuel Rohan: +91 82209 93325

Faculty Coordinators:

Mrs. A. Divya: +91 88517 83950

Ms. U. Narmadha: +91 84282 00851

PLAN. INNOVATE. SUSTAIN.

Think different. Build meaningful solutions. Create a sustainable tomorrow.","Round 1 Idea Shortlisting

24-Hour Hackathon – SUSTAINVERSE 2K26",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0425-sustainverse-2k26-dmi-college-engineering-24-hours-hackathon-chennai
SUSTAINVERSE 2K26,DMI College of Engineering,Upcoming,"Chennai, Tamil Nadu",Hybrid,2026-09-15,2026-09-16,2026-09-10,1,4,"Prize Pool: ₹22,000",22000.0,INR,"24 Hours Hackathon, CSE, AIDS, ECE, IT, EEE, Mechanical, BioTechnology",https://www.knowafest.com/explore/events/2026/09/0429-sustainverse-2k26-dmi-college-engineering-24-hours-hackathon-chennai,knowafest.com,2026-09-14T15:02:06Z,3,SUSTAINVERSE 2K26,DMI College of Engineering,Chennai,Tamil Nadu,India,15th - 16th September 2026,24 Hours Hackathon,"CSE, AIDS, ECE, IT, EEE, Mechanical, BioTechnology","₹400 per shortlisted team (up to 4 members)

₹200 for shortlisted individual participants

No registration fee is collected during Round 1 idea submission.

Registration fee will be collected only from participants/teams shortlisted for the final 24-hour hackathon.",https://docs.google.com/forms/d/e/1FAIpQLSeAS3DsjDiF2ywWnl1Nb4DLGTBEDBh9-w3-t3Ur2e8gmaWRLg/viewform?usp=send_form,https://sustainverse2k26.vercel.app,N/A,samrohan3007@gmail.com,"Student Coordinators:

Nandhini – +91 90424 89120

Samuel Rohan – +91 82209 93325

Faculty Coordinators:

Mrs. A. Divya – +91 88517 83950

Ms. U. Narmadha – +91 84282 00851","DMI College of Engineering is located on NH-48 at Palanchur – Nazarathpet Post, Chennai, Tamil Nadu – 600123.

The campus is accessible by road and is located along the Chennai–Bengaluru Highway (NH-48). Participants can reach the venue by bus, car, taxi, or other local transportation.","🌱 SUSTAINVERSE 2K26 – A 24-Hour Hackathon for a Sustainable Tomorrow

DMI College of Engineering, Chennai, proudly presents SUSTAINVERSE 2K26, organized by the Department of Artificial Intelligence & Data Science.

SUSTAINVERSE 2K26 challenges students to PLAN • INNOVATE • SUSTAIN by creating technology-driven solutions for real-world problems aligned with the United Nations Sustainable Development Goals (SDGs).

Hackathon Themes:

• AI & ML

• Education

• Healthcare

• Cybersecurity

• Open Innovation

The hackathon follows a two-stage process.

ROUND 1 – REGISTRATION & IDEA SHORTLISTING

All participating teams must submit their preliminary idea through the Round 1 registration process. The submitted problem statement, proposed solution, and presentation will be evaluated for preliminary shortlisting.

Only 30 teams will be shortlisted for the final 24-hour hackathon.

Round 1 evaluation criteria:

• Uniqueness

• Novelty

• Innovation

• Problem Relevance

• SDG Alignment

• Feasibility

• Potential Impact

Teams are required to prepare and submit their presentation using the official SUSTAINVERSE 2K26 Round 1 PPT template.

IMPORTANT:

The Problem Statement and Idea submitted during Round 1 are only for the shortlisting process. They do not lock your team into the same problem or idea for the final hackathon. Shortlisted teams may refine, change, or choose a different problem or idea during the final 24-hour hackathon.

FINAL ROUND – 24-HOUR HACKATHON

The shortlisted 30 teams will participate in the final 24-hour offline hackathon at DMI College of Engineering.

Participants will collaborate, build prototypes, develop innovative solutions, and compete to create meaningful real-world impact.

Hackathon Details:

Date: September 15–16, 2026

Duration: 24 Hours

Venue: DMI College of Engineering, Chennai

Team Size: Up to 4 Members

Shortlisted Teams: 30

Registration Fee:

No registration fee is collected during Round 1.

₹400 per shortlisted team (up to 4 members)

₹200 for shortlisted individual participants

Registration fee will be collected only from teams/participants shortlisted for the final 24-hour hackathon.

Prize Pool: ₹22,000

1st Prize: ₹10,000

2nd Prize: ₹7,000

3rd Prize: ₹5,000

IMPORTANT DATES:

Round 1 Registration & Idea Submission Deadline: September 10, 2026

Final 24-Hour Hackathon: September 15–16, 2026

Start Time: September 15, 2026 – 10:00 AM onwards

REGISTRATION:

Round 1 Registration & Idea Submission:

https://docs.google.com/forms/d/1L31hyz8plrCdK8ovzA3tOXcl6Bl6I3sxoypyFe6vP-s/viewform

Official Event Website:

https://sustainverse2k26.vercel.app/

ROUND 1 SELECTION CRITERIA:

https://docs.google.com/document/d/1QMOKTf2uxg83lpBkeg_WkG6jMCpaTYHY/edit

OFFICIAL ROUND 1 PPT TEMPLATE:

https://docs.google.com/presentation/d/1cEkmFLeww6kZL0mM-7pUy7fe1pBHnR_-/edit

CONTACT:

Nandhini: +91 90424 89120

Samuel Rohan: +91 82209 93325

Faculty Coordinators:

Mrs. A. Divya: +91 88517 83950

Ms. U. Narmadha: +91 84282 00851

PLAN. INNOVATE. SUSTAIN.

Think different. Build meaningful solutions. Create a sustainable tomorrow.","Round 1 Idea Shortlisting

24-Hour Hackathon – SUSTAINVERSE 2K26",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0429-sustainverse-2k26-dmi-college-engineering-24-hours-hackathon-chennai
D-Techminds 2026,Dhaanish Ahmed Institute of Technology,Upcoming,"Coimbatore, Tamil Nadu",Offline,2026-09-15,N/A,2026-09-13,1,4,N/A,N/A,N/A,"Product Design and Development Competetion, CSE, ECE, IT, EEE, Mechanical, Chemical, Metallurgy, Industrial, BioTechnology, MBA, BioMedical, Mechanics, Textile, Aeronautical, Material, Mining, Automobile, Design, Marine, Media, BBA, Food, School",https://www.knowafest.com/explore/events/2026/09/1012-d-techminds-2026-dhaanish-ahmed-institute-technology-product-design-development-competetion-coimbatore,knowafest.com,2026-09-14T15:02:06Z,4,D-Techminds 2026,Dhaanish Ahmed Institute of Technology,Coimbatore,Tamil Nadu,India,15th September 2026,Product Design and Development Competetion,"CSE, ECE, IT, EEE, Mechanical, Chemical, Metallurgy, Industrial, BioTechnology, MBA, BioMedical, Mechanics, Textile, Aeronautical, Material, Mining, Automobile, Design, Marine, Media, BBA, Food, School",200 per Team,https://docs.google.com/forms/d/e/1FAIpQLSewHTG8s8ZmyOCUCEAwjCjb2kY94y7IiRFjPFJYOl28voaIPQ/viewform,http://www.dhaanishtech.ac.in/,N/A,rajkumarait32@gmail.com,"Mr P Raj Kumar, AP/RA

Contact No: 9965484592",N/A,"D-Techminds 2026: Product Design & Development Competition

Dhaanish Ahmed Institute of Technology (DAIT), Coimbatore, is organizing D-Techminds 2026, a national-level product design and development competition held in celebration of Engineer’s Day. The event invites innovative student solutions across cutting-edge engineering domains.

Key Event Details

Institution: Dhaanish Ahmed Institute of Technology (DAIT), Coimbatore","Event Name: D-Techminds 2026 (Celebrations of Engineer's Day)

Competition Type: Product Design & Development Competition

Team Size: 1–4 Members (Interdisciplinary teams encouraged)

Registration Fee: ₹200 per team

Rewards: Cash Awards & Exciting Prizes

Last Date for Submission: September 13, 2026

Idea Presentation Date: September 15, 2026

Focus Areas

AI & Data Intelligence

Robotics & Automation Systems

IoT & Smart Systems

Drones & Autonomous Mobility

EV, Energy & Future Mobility

Green Technology & Circular Economy

Industry 4.0 & Smart Manufacturing

Healthcare & Assistive Technology

AgriTech & Community Innovation

Deep-Tech & Entrepreneurship",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/1012-d-techminds-2026-dhaanish-ahmed-institute-technology-product-design-development-competetion-coimbatore
Sensora 2.0,Vellore Institute of Technology,Upcoming,"Vellore, Tamil Nadu",Offline,2026-09-16,2026-09-17,N/A,2,4,"CASH PRIZES

📜 Certificates & Recognition",N/A,N/A,"Hackathon, CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Energy, Industrial, BioTechnology, Ocean, BioMedical",https://www.knowafest.com/explore/events/2026/08/2305-sensora-2-0-vellore-institute-technology-hackathon,knowafest.com,2026-09-14T15:02:07Z,5,Sensora 2.0,Vellore Institute of Technology,Vellore,Tamil Nadu,India,16th - 17th September 2026,Hackathon,"CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Energy, Industrial, BioTechnology, Ocean, BioMedical",Registration Fees?: (₹250+gst) per member,https://gravitas.vit.ac.in/events/cab0613c-32a8-4af3-8533-92df3ff128a2,https://gravitas.vit.ac.in/events/cab0613c-32a8-4af3-8533-92df3ff128a2,N/A,isoi@vit.ac.in,STUDENT COORDINATOR: Abisek Sasikumar - 90809 91640,"VIT Vellore - 632014 Tamil Nadu, India","🚀 SENSORA 2.0 – Gravitas VIT

🔥 36 Hours of Building, Innovation & Challenge

🧠 Tracks on Hardware, Software, IoT, AI, Healthcare Tech & Embedded Systems

👨‍🏫 Expert Mentorship & Industry Insights

🤝 Team: 2-4 Members

🏆 Exciting CASH PRIZES

📜 Certificates & Recognition",Sensora 2.0,Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/08/2305-sensora-2-0-vellore-institute-technology-hackathon
COREX 2K26,Erode Sengunthar Engineering College,Upcoming,"Erode, Tamil Nadu",Offline,2026-09-16,N/A,2026-09-15,2,4,"Cash Prize: ₹10,000",10000.0,INR,"Hackathon, EEE",https://www.knowafest.com/explore/events/2026/09/0708-corex-2k26-erode-sengunthar-engineering-college-hackathon,knowafest.com,2026-09-14T15:02:07Z,6,COREX 2K26,Erode Sengunthar Engineering College,Erode,Tamil Nadu,India,16th September 2026,Hackathon,EEE,Entry Fee: ₹200 per head,https://forms.gle/hvD2nmsvdush2MFy5,https://erode-sengunthar.ac.in,https://drive.google.com/file/d/1B2mQ3EYPezWXVIbyvceTT8NzOwM4w0SB/view?usp=drive_link,corex2k26@gmail.com,"Event Coordinator:

Mr.E. Immanuvel Bright, AP/EEE

9841788501

Student Coordinators:

1.Mr. Maheshrai M.E /EEE

2.Mr. Kavin C I EEE

8838520374

9361010136","ERODE,PERUNDURAI,THUDUPATHI,ERODE SENGUNTHAR ENGINEERING COLLEGE.","🔥 CORE X 2K26 – ONE DAY HACKATHON 🔥

CODE. COLLABORATE. CONQUER.

Are you ready to solve real-world problems with innovative ideas? 💡

The Department of Electrical & Electronics Engineering, in association with IEEE, proudly presents CORE X 2K26 – One Day Hackathon! 🚀

🤝 What makes CORE X special?

We encourage interdisciplinary teams! Each team is encouraged to include at least ONE student from a Core Engineering Branch such as:

⚡ EEE | 📡 ECE | 🎛️ EIE |

along with students from other relevant disciplines.

💡 Bring different perspectives. Combine engineering + technology + creativity and build solutions that can make a real-world impact!

👥 Team Size: 2–4 Members

💰 Entry Fee: ₹200 per head

🏆 Total Cash Prize: ₹10,000

📅 Date: 16 September 2026 (Wednesday)

🎓 Certificates for All Participants

👨‍🏫 Mentoring & Guidance

🔥 Real-World Challenges | Innovation | Collaboration | Recognition

👉 Don't come alone with just a coding idea — come with a team that can turn an idea into a working engineering solution!

📲 Scan the QR code in the poster and register now!

CORE X 2K26

One Day. Unlimited Ideas. Real Impact. 🚀",Hackathon,Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0708-corex-2k26-erode-sengunthar-engineering-college-hackathon
MAAYAI'26,Erode Sengunthar Engineering College,Upcoming,"Erode, Tamil Nadu",Offline,2026-09-17,2026-09-18,2026-09-13,3,4,₹300,300.0,INR,"Hackathon, CSE, IT, Design, Fashion",https://www.knowafest.com/explore/events/2026/08/1705-maayai-26-erode-sengunthar-engineering-college-hackathon,knowafest.com,2026-09-14T15:02:08Z,7,MAAYAI'26,Erode Sengunthar Engineering College,Erode,Tamil Nadu,India,17th - 18th September 2026,Hackathon,"CSE, IT, Design, Fashion","Registration Fees

₹300 per participant

Team Size: 3–4 participants per team.",https://forms.gle/ZXfbUEh6KhedxXweA,https://maayai.web.app/,https://forms.gle/ZXfbUEh6KhedxXweA,csdevents@esec.ac.in,"Contact

Event Coordinator

Ms.E.ANGEL ANNA PRATHIBA, AP/CSD - 7598162687

Ms.R.SHRI KEERTHANA, AP/CSD - 9488475775

Student Coordinator

HARIPRASATH N - 8220683194

SARVESH S - 8807648494

MATHANGI S - 8220324140","Erode Sengunthar Engineering College is located at Thudupathi, Perundurai, Erode – 638057, Tamil Nadu. The college is approximately 5 km from Perundurai Bus Stand. Participants arriving by bus can reach Perundurai Bus Stand, from where event transport can be arranged/used to reach the campus.","Maayai Game Development Hackathon

Maayai is a 24-hour game development hackathon designed to challenge participants to transform an on-the-spot problem statement into an engaging and functional game within a limited time frame. Participants will work in teams, choose from five different game development domains, and demonstrate their creativity, technical skills, game design abilities, and problem-solving approach.

The problem statement will be revealed on the spot at the beginning of the hackathon, ensuring that every team works under the same challenge and time constraints.","Maayai'26 – 24-Hour Game Development Hackathon

Event Type: Hackathon

Event Mode: Venue / Offline

Date: 17 September 2026

Duration: 24 Hours

Team Size: 3–4 Members

Registration Fee: ₹300 per Participant

Problem Statement: On-the-Spot",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/08/1705-maayai-26-erode-sengunthar-engineering-college-hackathon
ORION 1.0,Sathyabama Institute of Science and Technology,Upcoming,"Chennai, Tamil Nadu",Hybrid,2026-09-18,2026-09-19,2026-09-08,2,6,"prize pool of ₹1,00,000, expert evaluation, special recognitions and an intensive build-and-pitch experience.",100000.0,INR,"Open-innovation Hackathon, CSE, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Aerospace",https://www.knowafest.com/explore/events/2026/08/3003-orion-1-0-sathyabama-institute-science-technology-open-innovation-hackathon-chennai,knowafest.com,2026-09-14T15:02:08Z,8,ORION 1.0,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,India,18th - 19th September 2026,Open-innovation Hackathon,"CSE, ECE, IT, EEE, Instrumentation, Mechanical, Civil, Aerospace","Round 1 Online Qualifier: ₹100 per team.

Round 2 Offline Grand Finale: ₹250 per selected participant, applicable only to shortlisted teams.

All registration fees are strictly non-refundable and non-transferable.",https://orion-10-nine.vercel.app/,https://orion-10-nine.vercel.app/,N/A,orion.microsoftclub@gmail.com,"ORION 1.0 Organizing Team

+91 88702 27906

+91 72005 24207

+91 91765 94860","Venue: Indoor Auditorium, Sathyabama Institute of Science and Technology, Jeppiaar Nagar, Rajiv Gandhi Salai (OMR), Chennai, Tamil Nadu – 600119. The campus is accessible by MTC buses, taxis and app-based cab services through OMR. Participants should report at the main entrance and follow the ORION 1.0 venue directions displayed on campus.","ORION 1.0 is a nationwide, two-phase open-innovation hackathon organized by Microsoft Club SIST and hosted by Sathyabama Institute of Science and Technology, Chennai, in association with the School of Computing. The event begins with an online idea-submission round, from which the Top 70 teams will advance to a 24-hour offline grand finale on 18–19 September 2026. Open to teams of 2–6 members, ORION 1.0 encourages participants to develop innovative, feasible and impactful technology solutions across emerging domains. The event features a total prize pool of ₹1,00,000, expert evaluation, special recognitions and an intensive build-and-pitch experience.","Round 1 – Online Idea Submission and Pitch Deck Evaluation; Shortlisting of the Top 70 Teams; Round 2 – 24-Hour Offline Grand Finale with On-the-Spot Problem Statements; Prototype Development and Mentoring; Final Project Demonstration and Jury Pitch; Prize Distribution and Special Recognition Awards, including Best AI Innovation, Best UI/UX, Best Hardware Prototype and Best Pitch.",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/08/3003-orion-1-0-sathyabama-institute-science-technology-open-innovation-hackathon-chennai
ORION 1.0 — Build Beyond the Stars,Sathyabama Institute of Science and Technology,Upcoming,"Chennai, Tamil Nadu",Offline,2026-09-18,2026-09-19,2026-09-08,2,6,"Prize Pool: ₹1,00,000",100000.0,INR,"Hackathon, CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, MCA, Telecommunication",https://www.knowafest.com/explore/events/2026/08/3107-orion-1-0-build-beyond-stars-sathyabama-institute-science-technology-hackathon-chennai,knowafest.com,2026-09-14T15:02:08Z,9,ORION 1.0 — Build Beyond the Stars,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,India,18th - 19th September 2026,Hackathon,"CSE, AIDS, ECE, IT, EEE, Instrumentation, Mechanical, MCA, Telecommunication","Round 1 — ₹100 per team

Finalist Stage — ₹250 per selected participant

The Round 1 registration fee is strictly non-refundable and non-transferable.",https://orion-hackathon-sist.vercel.app/,https://orion-hackathon-sist.vercel.app/,N/A,orion.hackathon.sathyabama@gmail.com,"Nihitha — President

Phone: +91 88702 27906

Harshini — Vice President

Phone: +91 72005 24207

Praveen Kumar S — Cluster Coordinator

Phone: +91 91765 94860

Email: orion.hackathon.sathyabama@gmail.com","Rajiv Gandhi Salai, Jeppiaar Nagar, Chennai, Tamil Nadu 600119","ORION 1.0 — Build Beyond the Stars – Ignite the Genesis of Innovation

ORION 1.0 is a two-phase open-innovation hackathon organized by Microsoft Club SIST and hosted by Sathyabama Institute of Science and Technology, Chennai, in association with the School of Computing.

The event brings together students and working professionals to identify real-world problems, develop innovative technology solutions, and transform ideas into meaningful impact.

The first phase is an online idea qualifier where teams submit their proposed solution, idea abstract, and pitch deck. The Top 70 teams will be shortlisted for the grand finale.

The second phase is a 24-hour offline hackathon held on 18–19 September 2026 at Sathyabama Institute of Science and Technology, Chennai. Shortlisted teams will work on problem statements announced on the spot, build and validate their solutions, and present their final prototypes.

ORION 1.0 welcomes solutions across Artificial Intelligence and Machine Learning, Web and Mobile Development, Cybersecurity, Cloud Computing, IoT, Blockchain, FinTech, HealthTech, EdTech, Sustainability, Social Impact, Hardware, Web3, Systems, and other emerging technology domains.

Team Size: 2–6 members

Registration Fee: ₹100 per team for Round 1

Finalist Stage Fee: ₹250 per selected participant

Total Prize Pool: ₹1,00,000

The hackathon will evaluate innovation and originality, technical depth, feasibility, impact, user value, and clarity of presentation.

ORION 1.0 is an opportunity to build beyond the ordinary, solve meaningful problems, and turn ideas into impact.","ORION 1.0 consists of two phases:

Round 1 — Online Idea Qualifier

Teams of 2–6 members submit their project idea, abstract, and pitch deck. The Top 70 teams are shortlisted.

Round 2 — 24-Hour Offline Grand Finale

The Top 70 teams compete in a 24-hour offline hackathon on 18–19 September 2026. Problem statements are announced on the spot, followed by development, validation, and final pitching.",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/08/3107-orion-1-0-build-beyond-stars-sathyabama-institute-science-technology-hackathon-chennai
IGNITRRON'26,KPR Institute of Engineering and Technology,Upcoming,"Coimbatore, Tamil Nadu",Offline,2026-09-18,2026-09-19,N/A,N/A,N/A,N/A,N/A,N/A,"National Level Techno Management Fest, CSE, AIDS, ECE, IT, EEE, Civil, Chemical, Metallurgy, Industrial, Telecommunication, Physics, BioMedical, Mechanics, Aeronautical, Mining, Automobile, Design, Launchpad, Techno Clash – Quiz, StructureX, Business Model Canvas, Research Zero to Hero, Ignitia – HR Session, Breaking the Build, IPL Mega Auction, Paper Presentation, Workshop 2",https://www.knowafest.com/explore/events/2026/09/0222-ignitrron-26-kpr-institute-engineering-technology-national-level-techno-management-fest-coimbatore,knowafest.com,2026-09-14T15:02:09Z,10,IGNITRRON'26,KPR Institute of Engineering and Technology,Coimbatore,Tamil Nadu,India,18th - 19th September 2026,National Level Techno Management Fest,"CSE, AIDS, ECE, IT, EEE, Civil, Chemical, Metallurgy, Industrial, Telecommunication, Physics, BioMedical, Mechanics, Aeronautical, Mining, Automobile, Design","ONE DAY PASS : ₹ 300

TWO DAY PASS : ₹ 400

WORKHOP AND HACKATHON : +(₹ 100)

*ADDITIONAL CHARGES FOR WORKSHOPS AND HACKATHON*",https://ignitrron-26-home.freelancerskpriet.workers.dev/,https://ignitrron-26-home.freelancerskpriet.workers.dev/,N/A,ignitrron@kpriet.ac.in,"Sutarshan C

9942912171

Hakshitha Sri P

9360183353

Srihari RR

7826825822

Suriyan KS

7200679937","KPR Institute of Engineering and Technology, Coimbatore","IGNITRRON’26 — THE NATIONAL LEVEL TECHNO MANAGEMENT FEST OF KPRIET

A celebration of technology, innovation, creativity, and competition, bringing together students to challenge themselves, showcase their skills, and experience the future of engineering.

Conducted by KPR Institute of Engineering and Technology

in association with IGNITRRON — The Technical Clubhouse of KPRIET

From technical competitions and hackathons to workshops, challenges, and immersive experiences, IGNITRRON’26 brings a diverse lineup of events designed to inspire, engage, and ignite innovation.","Day 1 & 2

Day 1 Events

· MUN Conference

· CAD Forge

· Legacy Code Rescue Challenge

· Corporate Walk

· Avengers: The Auction War

· Project Presentation

· Game Genesis X (IN.ZEROS)

· Criminal Chronicles 2.0

· Robo Race

· Drone Race

· Path Pilot (Line Follower Contest)

· Workshop 1

· Auto Show

Day 2 Events

• Launchpad

• Techno Clash – Quiz

• StructureX

• Business Model Canvas

• Research Zero to Hero

• Ignitia – HR Session

• Breaking the Build

• IPL Mega Auction

• Paper Presentation

• MILAN 26 – Merging Industry Leaders and Academicians for New Horizons 26

• Workshop 2",Certificates will be provided to Participants,https://www.knowafest.com/explore/events/2026/09/0222-ignitrron-26-kpr-institute-engineering-technology-national-level-techno-management-fest-coimbatore
