title,organizer,status,location,event_mode,start_date,end_date,registration_deadline,team_size_min,team_size_max,prize,prize_amount,currency,tags,source_url,source_website,scraped_at,url,section,type,modality,timeline,themes,participants,cover_image,cta_action,external_links,badges,runs_from,happening,applications_close,prize_pool,overview,sponsors,logo_url
HackSpire'26,FIEM ACM Student Chapter,Open,"Kolkata, West Bengal, India",Offline,2026-10-02,2026-10-03,2026-09-15,2,4,"$4,588",4588.0,USD,No Restrictions,https://hackspire26.devfolio.co/,hackspire26.devfolio.co,2026-09-14T13:27:07.211392+00:00,https://hackspire26.devfolio.co/,Open,Hackathon,Offline,Starts 02/10/26,No Restrictions,+1000 participating,,Apply now,"{""website"": ""https://www.hackspire.tech"", ""x_twitter"": ""https://x.com/acmfiem""}","Offline, Open, Starts 02/10/26","Oct 2 - 3, 2026","Kolkata, India",Apply now,"$4,588","**HackSpire'26 – The Flagship Hackathon of FIEM ACM Student Chapter**

HackSpire is the flagship annual hackathon organized by the **FIEM ACM Student Chapter**, recognized as the **Most Active ACM Student Chapter in East India**. Following the tremendous success of our previous editions—including **4100+ registrations, 270 in-person participants, and 50+ innovative project submissions**—we are excited to announce **HackSpire'26**, set to be bigger, bolder, and more impactful than ever before.

HackSpire brings together some of the brightest student innovators, developers, and creators from across the country for an intense **26-hour hackathon experience** filled with innovation, collaboration, and learning. Participants will work in teams to build solutions for real-world challenges while exploring cutting-edge technologies across multiple domains.

### 📍 Event Details

**Event:** HackSpire'26
**Venue:** Future Institute of Engineering and Management, Kolkata
**Duration:** 26 Hours of Innovation

### Why join HackSpire'26?

 **Build innovative projects** across software and hardware tracks
 **Solve real-world problems** through curated problem statements
 **Learn from mentors and industry experts** through workshops and sessions
 **Network with developers, founders, and tech communities**
 **Win exciting prizes, swags, and recognition**

At HackSpire, we believe hackathons are not just about competition—they are about **collaboration, creativity, and community building**. Whether you are a beginner exploring your first hackathon or an experienced hacker ready to push boundaries, **HackSpire'26** provides the perfect platform to **learn, build, and showcase your ideas** at one of Kolkata’s most exciting student-led hackathons.","ElevenLabs, .xyz, n8n",https://assets.devfolio.co/hackathons/9f3e3e2ea4194c7195b519b6808c4779/assets/favicon/500.png
Realm Hack '26,,Open,"College of Engineering Karunagappally, Thodiyoor, Karunagappally, Kerala, India",Offline,2026-10-09,2026-10-10,2026-09-15,1,4,"Finalists will participate in a 24-hour offline hackathon, build and present their solutions before an expert judging panel, connect with mentors and industry professionals, and compete for the ₹60,000 prize pool.",700.0,USD,No Restrictions,https://realm-hack-1.devfolio.co/,realm-hack-1.devfolio.co,2026-09-14T13:27:08.365222+00:00,https://realm-hack-1.devfolio.co/,Open,Hackathon,Offline,Starts 09/10/26,No Restrictions,+250 participating,,Apply now,"{""website"": ""https://realmhack.in/"", ""x_twitter"": ""https://x.com/realmhack_cek""}","Offline, Open, Starts 09/10/26","Oct 9 - 10, 2026","Thodiyoor, India",Apply now,"Finalists will participate in a 24-hour offline hackathon, build and present their solutions before an expert judging panel, connect with mentors and industry professionals, and compete for the ₹60,000 prize pool.","# **About Realm Hack '26**

**Realm Hack '26** is the flagship annual hackathon organized by CFRA — Computer Science Forum: Realm of Academics, College of Engineering Karunagappally. 

Built for students and independent developers across India, Realm Hack brings together builders, and problem-solvers to create impactful technology solutions. The hackathon is designed as a three-round selection process, ensuring every team is evaluated on both the quality of its idea and its technical execution before the on-campus finale. 

Whether you're building your first project or your next big startup idea, Realm Hack '26 is your opportunity to learn, collaborate, and compete on a national stage.

### Hackathon Structure

**Round 1 — Registration & Idea Submission**
* Register your team on Devfolio and submit a project title, technology track, and a short abstract describing your idea.
* Applications are reviewed for originality, problem relevance, innovation, feasibility, and potential impact.
* Selected teams advance to Round 2 — Online Technical Evaluation.

**Round 2 — Online Technical Evaluation**
* Round 2 is conducted through the official Realm Hack website and is open only to teams shortlisted from Round 1.
* Shortlisted teams will receive access to the Round 2 submission portal, where they can download the official 4-slide PPT template and submit their technical proposal before the submission deadline.
* Submissions in this round are evaluated to shortlist teams for the Offline Grand Finale. 
* Teams shortlisted from Round 2 will receive an official invitation to compete in the Offline Grand Finale.

**Round 3 — Offline Grand Finale**
* Teams shortlisted from Round 2 will be invited to the Realm Hack '26 Grand Finale at the College of Engineering Karunagappally.
* Finalists will participate in a 24-hour offline hackathon, build and present their solutions before an expert judging panel, connect with mentors and industry professionals, and compete for the ₹60,000 prize pool.

### Who Can Participate?
* Students from any college or university in India.
* Individual developers and teams of 1–4 members.

### Official Website
Full rules, submission guidelines, announcements, and Round 2 updates will be available on the official website: [realmhack.in](https://realmhack.in)",,https://assets.devfolio.co/hackathons/dd7e88cc8f304e7598f49adbf89241bb/assets/favicon/653.png
HackOphobia,,Open,"Chandigarh University Lucknow, Uttar Pradesh, Kanpur - Lucknow Road, Parsandan, Uttar Pradesh, India",Offline,2026-09-17,2026-09-17,2026-09-15,5,6,$400,400.0,USD,No Restrictions,https://hackophobia.devfolio.co/,hackophobia.devfolio.co,2026-09-14T13:27:09.601453+00:00,https://hackophobia.devfolio.co/,Open,Hackathon,Offline,Starts 17/09/26,No Restrictions,+100 participating,,Apply now,{},"Offline, Open, Starts 17/09/26","Sep 17, 2026","Parsandan, India",Apply now,$400,"HackOphobia 2.0 is Chandigarh University's biggest student-led hackathon, bringing together 750+ passionate developers, designers, innovators, and problem-solvers to build, experiment, and turn ideas into real-world solutions.",,https://assets.devfolio.co/hackathons/6bdbc3c089214f8082e257f72ddde1e2/assets/favicon/328.png
Cognition - GameJam '26,Technical Team of SIESGST,Open,"SIES Graduate School of Technology, Dr D Y Patil Vidyanagar, Sector 5, Nerul, Navi Mumbai, Maharashtra, India",Offline,2026-09-18,2026-09-26,2026-09-17,1,4,"prize pool of ₹10,000",104.44,USD,No Restrictions,https://cognition-gamejam-1.devfolio.co/,cognition-gamejam-1.devfolio.co,2026-09-14T13:27:10.791156+00:00,https://cognition-gamejam-1.devfolio.co/,Open,Hackathon,Offline,Starts 19/09/26,No Restrictions,+250 participating,,Apply now,"{""website"": ""https://gamejam26.vercel.app/"", ""x_twitter"": ""https://x.com/techteam_sies""}","Offline, Open, Starts 19/09/26","Sep 19 - 26, 2026","Navi Mumbai, India",Apply now,"prize pool of ₹10,000","Cognition GameJam 2026

Navi Mumbai's Biggest GameJam

**Cognition GameJam 2026**, organized by the Technical Team of SIESGST, is a multi-round game development hackathon designed to challenge participants to build, innovate, and adapt under real-world development constraints.

Whether you are a solo developer or part of a team, the GameJam provides an opportunity to transform ideas into playable experiences while demonstrating your skills in game development, design, programming, problem-solving, and creative thinking.

Participants will begin by developing and submitting a playable prototype. Shortlisted teams will then advance to the final round, where a surprise theme or twist will be revealed. Teams will be required to adapt their existing game and develop a compelling final experience within the given constraints.

## GameJam Structure

###  🔸Round 1 — Prototype Submission

Participants will develop and submit a playable game prototype demonstrating the core concept and fundamental gameplay experience.

The prototype will be evaluated based on:

* Functionality
* Gameplay and game mechanics
* Technical implementation
* Overall execution

**Prototype Submission Deadline:** 17 September 2026

###  🔸Round 2 — Finals & Showcase

Shortlisted teams will compete in the on-campus final round.

A surprise theme or twist will be revealed at the beginning of the final stage. Teams will then adapt and enhance their prototype to incorporate the given challenge within the allotted time.

The final submission will be evaluated based on:

* Creativity
* Innovation
* Execution
* Gameplay experience
* Technical implementation
* Adaptability to the given theme/twist

**Theme Reveal:** 19 September 2026
**Finals & Showcase:** 26 September 2026

## Who Can Participate?

* Open to all participants
* Solo participants are welcome
* Teams of **1–4 members**
* No registration fee
* Online screening round
* On-campus final round

Participants may use their preferred game development tools and technologies, subject to the GameJam rules and guidelines.

## 🎓Why Participate?

Cognition GameJam 2026 offers participants an opportunity to:

* Build a complete playable game under time constraints
* Strengthen practical game development and problem-solving skills
* Receive feedback and evaluation from industry professionals and gaming experts
* Collaborate and network with developers, designers, artists, and gaming enthusiasts
* Build a strong project for their portfolio
* Explore potential internship and industry opportunities

## 🎁Prizes & Opportunities

The GameJam features a **prize pool of ₹10,000** along with recognition for outstanding projects.

Participants may also have access to:

* Mentorship from experienced developers and industry professionals
* Exclusive event merchandise and goodies
* Networking opportunities
* Potential internship opportunities for top-performing teams

## 📢Community & Updates

Participants are encouraged to join the official GameJam community and follow the event's social media channels for announcements, submission guidelines, and other important updates.

 **Discord:** [Join Now](https://discord.gg/TSFnmbYqJ8/)
 **Instagram:** [Follow Us](https://www.instagram.com/technicalteam_siesgst/)
 **LinkedIn:** [Connect Here](https://www.linkedin.com/company/technical-team-sies-gst/)
 **Twitter (X):** [Follow Us](https://x.com/techteam_sies/)


## Contact

For queries regarding the GameJam:

**Ishan Mishra**
[+91 93240 23627](https://wa.me/+919324023627)

**Subhronil Chattoraj**
[+91 8779340742](https://wa.me/+918779340742)

## Ready to Build?

Bring your ideas, form your team, and build something worth playing.

**Your idea. Your game. Your challenge.**

Please ensure that you read and follow the **Code of Conduct** and all official GameJam rules before participating.","Devfolio, Game Developer Association of India",https://assets.devfolio.co/hackathons/e6cecc553fb949c5a0b24ee56659b100/assets/favicon/490.png
DEVHACK 2026,GDG on Campus IIMT University,Open,Online,Online,2026-09-15,2026-09-17,2026-09-17,2,5,"$60,000",60000.0,USD,"Design, FinTech, AI",https://devhack2026.devfolio.co/,devhack2026.devfolio.co,2026-09-14T13:27:11.987529+00:00,https://devhack2026.devfolio.co/,Open,Hackathon,Online,Starts 16/09/26,"Design, FinTech, AI",+250 participating,,Apply now,"{""instagram"": ""https://www.instagram.com/gdg_iimt?igsi=NGJocHhpdGJtaDdk""}","Online, Open, Starts 16/09/26","Sep 16 - 18, 2026",Online,Apply now,"$60,000","IIMTU DevHack 2026 is a developer-focused hackathon organized by GDG on Campus IIMT University, bringing together students, developers, and innovators to build meaningful solutions using technology.

Whether you're passionate about AI, Web Development, App Development, Cloud, or emerging technologies, DevHack is an opportunity to turn your ideas into working projects, collaborate with your team, learn from mentors, and showcase what you build.

The hackathon will follow a two-stage format:

18 September— Online Build & Submission
Accepted teams will participate remotely, build their projects, connect with mentors, and submit their final solutions online.

19 September — Offline Demo & Final Evaluation
Teams will present their projects in person, demonstrate their solutions, interact with judges, and compete for the top positions.

Come with an idea. Build something meaningful. Make an impact.

IIMTU DevHack 2026 — Build. Innovate. Impact.","IIMT Business Incubator Foundation, IIMT University - IIMTU, IDFC FIRST Bank, Work2hire",https://assets.devfolio.co/hackathons/849225843a2e467784be86ba70ccc567/assets/favicon/581.jpeg
Recursive,Department of Information Technology,Open,"Guru Nanak Institute of Technology, Nilgunj Road, Sahid Colony, Panihati, West Bengal, India",Offline,2026-10-08,2026-10-08,2026-09-19,2,4,,0.0,USD,No Restrictions,https://recursiveacm.devfolio.co/,recursiveacm.devfolio.co,2026-09-14T13:27:13.232865+00:00,https://recursiveacm.devfolio.co/,Open,Hackathon,Offline,Starts 08/10/26,No Restrictions,+250 participating,,Apply now,"{""website"": ""https://www.recursiveacm.in/"", ""facebook"": ""https://www.facebook.com/share/1BsT4oB1t4/""}","Offline, Open, Starts 08/10/26","Oct 8, 2026","Panihati, India",Apply now,,"****Maybe the best ideas start when you simply sit down.****

****RECURSIVE — Shift-8 Hackathon 2026**** | The First ACM-Sponsored Hackathon at **GNIT**

RECURSIVE is the first **ACM-sponsored hackathon** at **Guru Nanak Institute of Technology (GNIT)**, organized by the **Department of Information Technology, GNIT**, in association with ACM and the **GNIT Kolkata ACM Student Chapter**.

RECURSIVE brings together **students, developers, designers, and problem-solvers** for an **intense 8-hour in-person hackathon** at GNIT, Kolkata. Working in **teams of 2–4**, participants will take on original real-world challenges and transform their ideas into functional solutions through technology, creativity, and collaboration.

**From ideation and development** to UI/UX and practical implementation, RECURSIVE is designed to give participants the freedom to experiment, build, iterate, and bring meaningful ideas to life within a single, high-energy sprint.

📍 **Event Details**

**Event:** RECURSIVE — Shift-8 Hackathon
**Venue:** Guru Nanak Institute of Technology, Kolkata
**Duration:** 8 Hours of Building & Innovation
**Date:** **8th October 2026**
**Team Size:** 2–4 Members

**Why join RECURSIVE?**

Build functional solutions to original real-world challenges
Explore technology and innovation across different domains
Collaborate with like-minded developers, designers, and problem-solvers
Learn, experiment, and iterate through an intense **8-hour building experience**
Showcase your ideas to mentors and judges
Win **exciting prizes, certificates, and goodies**

At RECURSIVE, we believe that great ideas are not created in a single moment. They evolve through iterations — **thinking, building, testing, learning, and trying** again.

Whether you are stepping into your first hackathon or are already an experienced builder, RECURSIVE — Shift-8 Hackathon gives you the space, time, and community to sit down, start building, and **turn an idea into something real.**

**Maybe the best ideas start when you simply sit down.** 🪑

**Follow us on:**
[RECURSIVE — Shift-8 Hackathon 2026](https://www.recursiveacm.in)

[GNIT Kolkata ACM Student Chapter](https://gnitkolkata.acm.org)",,https://assets.devfolio.co/hackathons/72aac6f9ba9f4fc6b24fe9bfe979acaf/assets/favicon/897.png
Builders Day by HackUnion,,Open,"Lords Skill Academy, Mehdipatnam Road, Royal Colony, Humayun Nagar, Hyderabad, Telangana, India",Offline,2026-09-26,2026-09-26,2026-09-20,1,4,$350,350.0,USD,No Restrictions,https://builders-day-hackunion.devfolio.co/,builders-day-hackunion.devfolio.co,2026-09-14T13:27:14.485262+00:00,https://builders-day-hackunion.devfolio.co/,Open,Hackathon,Offline,Starts 26/09/26,No Restrictions,+250 participating,,Apply now,"{""discord"": ""https://discord.gg/5muK7twxta"", ""instagram"": ""https://www.instagram.com/hackunion.in""}","Offline, Open, Starts 26/09/26","Sep 26, 2026","Hyderabad, India",Apply now,$350,"Builders Day by [HackUnion](https://hackunion.in) is the culmination of the [OpenBuild Week](https://hackunion.in/obw) journey, a space where builders come together to collaborate, solve problems, build products, and compete.

From learning to building.
From ideas to prototypes.
From campus communities to one Builders Day.

This is where builders come to build.",,https://assets.devfolio.co/hackathons/6e3603d1dc1743ee81f13f11ed9af014/assets/favicon/570.png
Hackify 3.0,IEDC MACE,Open,"Mar Athanasius College of Engineering Kothamangalam, Road, Kothamangalam, Kerala, India",Offline,2026-10-09,2026-10-11,2026-09-22,1,4,,0.0,USD,No Restrictions,https://hackify-3.devfolio.co/,hackify-3.devfolio.co,2026-09-14T13:27:15.744399+00:00,https://hackify-3.devfolio.co/,Open,Hackathon,Offline,Starts 09/10/26,No Restrictions,+100 participating,,Apply now,"{""website"": ""https://hackify.iedcmace.in/sponsors"", ""instagram"": ""https://www.instagram.com/iedcmace/""}","Offline, Open, Starts 09/10/26","Oct 9 - 11, 2026","Kothamangalam, India",Apply now,,"Hackify 3.0 – Blueprint for Peace: Powering Defence, Protecting Lives, Rebuilding Nations

Hackify 3.0 is the third edition of the flagship national-level hackathon organized by IEDC MACE, bringing together student innovators from across the country to solve real-world challenges through technology.

This year's theme, ""Blueprint for Peace: Powering Defence, Protecting Lives, Rebuilding Nations,"" challenges participants to develop technology-driven solutions in areas such as national security, defence technologies, cyber defence, civilian protection, humanitarian response, and post-war reconstruction.

Over 36 hours participants will collaborate, innovate, and transform ideas into impactful solutions under the guidance of mentors, industry experts, and startup ecosystem leaders. Hackify 3.0 provides a platform for aspiring innovators to showcase their skills, tackle real-world problems, and create technology that drives meaningful change.

🚀 Ready to hack? Register now and be part of the innovation!

💬 Join our WhatsApp Community for announcements, event updates, team formation, and participant support:

https://chat.whatsapp.com/KBMZS0UZAX1H5i9kbMJiCW",,https://assets.devfolio.co/hackathons/1063827b27854568b65b08b5cab55030/assets/favicon/289.png
DEFINE 4.0,,Open,"Mar Baselios College of Engineering and Technology (Autonomous), P.O, Nalanchira, Thattinakam, Thiruvananthapuram, Kerala, India",Offline,2026-10-08,2026-10-10,2026-09-22,2,5,$550,550.0,USD,No Restrictions,https://define4.devfolio.co/,define4.devfolio.co,2026-09-14T13:27:16.997165+00:00,https://define4.devfolio.co/,Open,Hackathon,Offline,Starts 09/10/26,No Restrictions,+100 participating,,Apply now,"{""website"": ""https://define4.csembcet.in"", ""x_twitter"": ""https://x.com/definehack""}","Offline, Open, Starts 09/10/26","Oct 9 - 10, 2026","Thiruvananthapuram, India",Apply now,$550,"The **Department of Computer Science and Engineering** of **Mar Baselios College of Engineering and Technology**, Thiruvananthapuram proudly present the fourth edition of DEFINE, an exclusive, exciting and stimulating **24-Hour Hackathon**.

Finding problems and building solutions is what makes a practicing engineer. 

Define is a supporting and encouraging way to bring the spotlight to students. Being present at our event would give you the chance to see how the attendees surge themselves to work together, and make life easier with the help of technology.",Devfolio,https://assets.devfolio.co/hackathons/6434a62d05344438895df8ab42f5a3ef/assets/favicon/133.png
GlitchFiesta,,Open,"Kanpur, Uttar Pradesh, India",Offline,2026-09-25,2026-09-25,2026-09-24,2,4,,0.0,USD,No Restrictions,https://glitchfiesta2026.devfolio.co/,glitchfiesta2026.devfolio.co,2026-09-14T13:27:18.234134+00:00,https://glitchfiesta2026.devfolio.co/,Open,Hackathon,Offline,Starts 26/09/26,No Restrictions,,,Apply now,"{""website"": ""https://glitchfiesta.in/"", ""instagram"": ""https://www.instagram.com/glitchfiesta?igsh=ZXVrdGtmczZwZGs4""}","Offline, Open, Starts 26/09/26","Sep 26, 2026","Kanpur, India",Apply now,,"Devfolio ke About section ke liye direct markdown template:
🚀 About GlitchFiesta
Welcome to GlitchFiesta, where bugs turn into breakthroughs and problems turn into prototypes.
Driven by our motto, ""Code the Chaos,"" GlitchFiesta brings together ambitious student developers, designers, and innovators under one roof to build real-world solutions in high-intensity sprints. Whether you are hacking your first web app or integrating advanced machine learning pipelines, this is your playground to experiment, fail fast, and build fearlessly.
🔥 Why Participate?
 * Build Meaningful Projects: Go from concept to working prototype with zero boundaries.
 * Network & Collaborate: Connect with top student talent, mentors, and community leads.
 * Prizes & Recognition: Compete for track prizes, sponsor bounties, and exclusive perks.
 * Workshops & Guidance: Get direct feedback on design, code architecture, and pitching.
🛠 Tracks & Themes
GlitchFiesta is open to all domains, with special focus tracks around:
 * AI & Machine Learning
 * Web3 & Blockchain
 * HealthTech & Social Impact
 * FinTech & Open Innovation
👥 Eligibility
 * Open to all college students, developers, and tech enthusiasts.
 * Team Size: 2 to 4 members (Solo hackers can also form teams before hacking kicks off).
Gear up, grab your team, and get ready to turn chaos into code!",,https://assets.devfolio.co/hackathons/58eb83babe2c40f792dc99678b818c28/assets/favicon/569.png
